Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
SME       ;IN 474/2013;Inexigibilidade de Licitação;Serviço: Contratação de curso para SEP 2013.;R$ 280,00;Av. João Gualberto, 623 7º Andar Torre B;29/10/2020;01-099375/2010;01/11/2013;11/12/2013;Empenhado
FMS       ;PE 53/2015;PREGÃO ELETRÔNICO;CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO, COM FORNECIMENTO DE MÃO-DE-OBRA ESPECIALIZADA, MATERIAIS E EQUIPAMENTOS, PARA BEM ATENDER A SECRETARIA MUNICIPAL DA SAÚDE. PELO PERÍODO DE 12 (DOZE) MESES. ;R$ 11.832.978,60;Unidades SMS;15/09/2016;01-072174/2013;15/03/2017;14/03/2022;Confirmado Vencedor
SETRAN    ;CP 22/2015;Concorrência Pública;Contratação de serviços de manutenção eletrônica de campo, manutenção estrutural de campo e manutenção eletrônica laboratorial interna, preventivas e corretivas, para todos os componentes e equipamentos dos sistemas de controle de tráfego do parque semafórico de Curitiba/PR.;;Conforme Edital de embasamento;17/06/2016;01-093240/2014;;;Processo Fracassado
URBS      ;CP 5/2015;Concorrência Pública;Alienação de 01 (um) imóvel localizado na Rua Vicente Michelotto, 585 - CIC - Curitiba - PR - matrícula: 183.145 - Indicação Fiscal: 89.173.001.000 ;;CONFORME EDITAL DE EMBASAMENTO;23/04/2020;01-112980/2015;;;Processo de Compra Montado
SMMA      ;IN 131/2015;Inexigibilidade de Licitação;Credenciamento de empresas para prestarem serviço de esterilização cirúrgica de animais na segunda fase da Campanha Municipal de Controle Populacional de Cães e Gatos.;R$ 1.000.000,00;Rede de Proteção Animal - Passeio Público;18/04/2016;01-044738/2015;25/04/2016;24/10/2016;Confirmado Vencedor
FMS       ;FN 1/2016;Financeiro;CONVÊNIO PARA FORMALIZAR COOPERAÇÃO TÉCNICA ENTRE OS CELEBRANTES, VISANDO A EMISSÃO DE DECLARAÇÕES PARA CONCESSÃO DE BENEFÍCIOS DE INENÇÃO DE PAGAMENTO DE TARIFA DO TRANSPORTE COLETIVO URBANO-EMISSÃO DO CARTÃO TRANSPORTE ISENTO, PARA OS PACIENTES CARENTES COM DEFICIÊNCIA FÍSICA, MENTAL, VISUAL, AUDITIVA E/OU PATOLOGIAS CRÔNICAS, CONFORME PRECONIZA O DECRETO MUNICIPAL Nº29 DE JANEIRO/96 E O DECRETO 232 DE 13 DE MARÇO/03. PELO PERÍODO DE 24 (VINTE E QUATRO) MESES.;R$ 0,00;RUA FRANCISCO TORRES, 830 - SMS;24/11/2016;01-048733/2014;20/01/2016;18/01/2018;Confirmado Vencedor
URBS      ;PE 9/2016;PREGÃO ELETRÔNICO;Aquisição Papel Higiênico Rolão - RP;R$ 162.998,40;Almoxarifado da URBS- Av. Presidente Affonso Camargo Nº. 530;05/04/2016;57-000215/2015;01/03/2016;07/06/2017;Parcialmente Empenhado
SMOP      ;PE 32/2016;PREGÃO ELETRÔNICO;MATERIAIS PARA MANUTENÇÃO PREDIAL - ELÉTRICA, HIDRÁULICOS, FERRAGENS, CONSTRUÇÃO E PINTURA COM RESERVA DE COTA DE ATÉ 25% PARA OS ITENS 41, 42, 43 PARA CONTRATAÇÃO DE MICROEMPRESA E EMPRESA DE PEQUENO PORTE. OS ITENS 29, 35, 38 QUALQUER EMPRESA PODERA PARTICIPAR ME/EPP OU GRANDE EMPRESA, OS DEMAIS ITENS SÃO EXCLUSIVOS PARA ME/EPP,  PELO SISTEMA DE REGISTRO DE PREÇOS, POR UM PERÍODO DE 12 (DOZE) MESES,PREÇOS, POR UM PERÍODO DE 12 (DOZE) MESES;R$ 1.016.974,41;conforme recibo de entrega;08/04/2016;01-138219/2015;04/03/2016;18/05/2017;Parcialmente Empenhado
FMCA      ;CP 1/2016;Concorrência Pública;CONTRATO DE PRESTAÇÃO DE SERVIÇOS PARA ELABORAÇÃO DO DIAGNÓSTICO DA REALIDADE SOCIAL DA INFÂNCIA E JUVENTUDE NO MUNICÍPIO DE CURITIBA.;R$ 875.287,00;Conforme indicado em edital de embasamento.;02/05/2016;01-111144/2015;09/11/2016;06/06/2018;Processo Concluído
URBS      ;CP 4/2016;Concorrência Pública;Contratação de Permissionário através do Termo de Outorga de Permissão de Uso para adequação, ocupação e exploração de espaços intitulados no complexo denominado Rua da Cidadania do Tatuquara.;;CONFORME EDITAL DE EMBASAMENTO;13/04/2016;01-060631/2015;;;Processo Deserto
SME       ;FN 14/2016;Financeiro;  Termo  de   Cooperação Técnica.;R$ 0,00;conforme processo original;08/04/2016;01-020375/2016;27/04/2016;20/01/2021;Confirmado Vencedor
SME       ;PE 47/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE CONFECÇÃO E INSTALAÇÃO DE ESPELHO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES, PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 59.500,00;CONFORME ANEXO II.;20/04/2016;01-017800/2016;22/03/2016;18/05/2017;Empenhado
URBS      ;CP 5/2016;Concorrência Pública;Contratação de PERMISSIONÁRIO, através de Termo de Outorga de Permissão de Uso para adequação, ocupação e exploração de espaços nos complexos denominados: Shopping Popular Capão Raso, e no complexo denominado Centro Comercial Rui Barbosa.;R$ 115.487,80;CONFORME EDITAL DE EMBASAMENTO;05/04/2016;01-003873/2015;03/04/2017;01/04/2022;Confirmado Vencedor
SMMA      ;TP 1/2016;Tomada de Preço;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DE PISO DO BORRACHA NO PARQUINHO ACESSÍVEL DO PASSEIO PÚBLICO, LOCALIZADO NA RUA PRESIDENTE FARIA COM AV. JOÃO GUALBERTO E RUAS PRESIDENTE CAVALCANTI E LUIZ LEÃO - BAIRRO CENTRO, REGIONAL MATRIZ - MUNICIPIO DE CURITIBA.;R$ 26.780,00;DEPARTAMENTO DE PARQUES E PRAÇAS DA SMMA;15/04/2016;01-154548/2015;30/05/2016;25/12/2016;Confirmado Vencedor
SME       ;PE 53/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS E HORTI-FRUTTI PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 165.935,60;CONFORME RECIBO DE ENTREGAS.;04/04/2016;01-029585/2016;02/05/2016;07/07/2016;Parcialmente Empenhado
CTBA S/A  ;PE 3/2016;PREGÃO ELETRÔNICO;1.1.A presente licitação tem por objeto a contratação de empresa para prestação de serviços continuados de roçada, capinação, limpeza e transporte dos resíduos resultantes e entulhos, em áreas de abrangência da Cidade Industrial de Curitiba, conforme especificações contidas no formulário-proposta eletrônico e nos ANEXOS, partes integrante deste Edital, à disposição no Portal de Compras da Prefeitura Municipal de Curitiba (www.e-compras.curitiba.pr.gov.br).;R$ 343.999,00;RUA BARAO DO RIO BRANCO 45;04/04/2016;57-000022/2016;06/05/2016;30/05/2017;Confirmado Vencedor
ICS       ;PE 23/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS  E MATERIAL MÉDICO.;R$ 9.710,00;RUA SANTO ANTONIO, 400 REBOUÇAS;05/04/2016;57-000028/2016;;;Autorização de Fornecimento Gerada
ICS       ;PE 24/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PAPEL HIGIENICO ROLO 600M;R$ 11.975,00;R Santo Antonio, 400 - Rebouças;05/04/2016;42-000030/2016;04/04/2016;25/05/2017;Parcialmente Empenhado
SMMA      ;FN 18/2016;Financeiro;CONVÊNIO DE COOPERAÇÃO TÉCNICA PARA A CONSERVAÇÃO DA BIODIVERSIDADE URBANA NO MUNICÍPIO DE CURITIBA.;R$ 250.000,00;Departamento de Educação para Sustentabilidade;04/04/2016;01-012947/2014;07/04/2016;07/07/2018;Confirmado Vencedor
SMAM      ;FN 19/2016;Financeiro;Termo de Cooperação Técnica entre os municípios de Curitiba e Almirante Tamandaré, tendo por finalidade a cooperação técnica entre os referidos municípios para promover meios de integração da organização e planejamento das funções públicas de interesse comum.;R$ 0,00;Conforme descrito no processo;05/04/2016;01-032945/2016;05/04/2016;04/04/2018;Confirmado Vencedor
ICS       ;PE 25/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MOCHOS ODONTOLÓGICOS.          ;R$ 14.000,00;RUA SANTO ANTONIO, 400 REBOUÇAS;06/04/2016;57-000038/2016;;;Autorização de Fornecimento Gerada
IMT       ;DT 1/2016;Dispensa de Licitação - TCE;Contratação emergencial de manutenção para o elevador da Torre Panorâmica com peças;R$ 9.600,00;Torre Panorãmica;05/05/2016;42-000008/2016;;;Confirmado Vencedor
IMAP      ;IN 4/2016;Inexigibilidade de Licitação;INSCRIÇÃO DO SERVIDOR CARLOS PEIXOTO - IPPUC NO CURSO PHP BÁSICO E MY SQL - PRESENCIAL;R$ 265,00;IMAP;11/04/2016;53-000044/2016;06/04/2016;06/05/2016;Empenhado
SMOP      ;CP 11/2016;Concorrência Pública;OBRA DE ENGENHARIA CIVIL PARA IMPLANTAÇÃO DAS ALÇAS DE ACESSO À TRINCHEIRA DO CEASA.;R$ 10.619.998,19;Trincheira do CEASA;07/04/2016;01-150730/2015;28/09/2016;19/07/2018;Confirmado Vencedor
SMOP      ;DT 6/2016;Dispensa de Licitação - TCE;OBRAS DE ENGENHARIA CIVIL, EXECUÇÃO DE MURO DE CONTENÇÃO DE MARGENS NA RUA JOSÉ GULIN, BAIRRO BACACHERI.;R$ 149.889,45;RUA EMÍLIO DE MENEZES, 450 - SÃO FRANCISCO;05/04/2016;01-008930/2016;06/04/2016;02/11/2016;Empenhado
SMOP      ;CP 12/2016;Concorrência Pública;OBRA VIÁRIA DE ENGENHARIA CIVIL NA RUA FRANCISCO XAVIER DE OLIVEIRA, VIA DE ACESSO AO ELEVADO POMPÉIA, NUMA EXTENSÃO DE 135,50M COM EXECUÇÃO DE DRENAGEM, TERRAPLENAGEM, PAVIMENTAÇÃO EM CBUQ, CONTENÇÃO E SERVIÇOS COMPLEMENTARES DE SINALIZAÇÃO.;;Via de acesso Elevado Pompéia;07/04/2016;01-151626/2015;;;Processo Fracassado
FCC       ;IN 11/2016;Inexigibilidade de Licitação;Contratação de 02 palestras para o projeto Ação Educativa de Formação de Platéia.;R$ 2.650,00;Rua Engenheiros Rebouças, 1732;06/04/2016;01-026053/2016;12/04/2016;10/06/2016;Confirmado Vencedor
FMS       ;DT 20/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO BROMETO DE IPRATRÓPIO+BROMIDRATO DE FENOTEROL AEROSSOL.;R$ 1.262,46;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO/SMS;07/04/2016;01-032886/2016;08/04/2016;11/04/2016;Empenhado
FMS       ;PE 32/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 57.500,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;07/04/2016;01-034035/2016;06/04/2016;13/05/2017;Parcialmente Empenhado
CTBA S/A  ;DM 3/2016;DISPENSA DE LICITAÇÃO - ECONOMIA MISTA;Aquisição de 20 (vinte) cartões de proximidade - smard card.;R$ 186,00;RUA BARAO DO RIO BRANCO 45;20/04/2016;01-039106/2016;;;Autorização de Fornecimento Gerada
FMS       ;DT 21/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO OXIBUPROCAÍNA CLORIDRATO 4MG/ML.;R$ 710,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO/SMS.;07/04/2016;01-035057/2016;08/04/2016;11/04/2016;Empenhado
FMS       ;DT 22/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO PREGABALINA 150MG CÁPSULA.;R$ 626,64;RUA FRANCISCO TORRES, 830 - ANDAR C - SALA C02.;07/04/2016;01-017090/2016;08/04/2016;11/04/2016;Empenhado
SGM       ;PE 54/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE BANDEIRAS DO BRASIL, BANDEIRAS DO ESTADO DO PARANÁ E BANDEIRAS DO MUNICÍPIO DE CURITIBA".;R$ 3.120,00;Conforme empenho;07/04/2016;01-033580/2016;02/05/2016;17/05/2016;Empenhado
CTBA S/A  ;DM 4/2016;DISPENSA DE LICITAÇÃO - ECONOMIA MISTA;Contratação de  empresa para prestação de serviço de Publicidade Legal - Edital de Convocação para 53ª AGO e 199ª RCA, em jornal de grande circulação do Município de Curitiba, em edição do dia 11/04/2016 - 12/04/2016 e 13/04/2016.;R$ 1.554,00;RUA BARAO DO RIO BRANCO 45;08/04/2016;42-000067/2016;;;Autorização de Fornecimento Gerada
