Campo;Descrição;Tipo de Dado;Tamanho
Órgão;Secretaria ou ente responsável pela realização da despesa;varchar;10
Número do Processo;Numeração sequencial do procedimento licitatório.;int;4
Modalidade;Forma de Contratação;varchar;50
Item;Descrição do objeto contratado ;varchar;121
Quantidade;Relação numérica que expressa a quantia necessária do objeto licitado.;decimal;9
Unidade de Medida;Unidade de medida do objeto contratado, conforme grandeza que compõe o sistema métrico decimal;varchar;2
Contratado/Fornecedor;Pessoa física ou jurídica signatária de instrumento contratual com a Administração Pública, na condição de fornecedor de bens, executor de obra ou prestador de serviço. ;varchar;70
CNPJ/CPF;Número sequencial do fornecedor/contratado, registrado junto à Receita Federal do Brasil.;varchar;18
Número do Contrato;Número sequencial de todo e qualquer ajuste entre órgãos ou entidades da Administração Pública e particulares, em que haja um acordo de vontades para a formação de vínculo e a estipulação de obrigações recíprocas, seja qual for a denominação utilizada. ;int;4
Inicio da Vigência do Contrato;Data inical de vigência do contrato;datetime;8
Fim da Vigência do Contrato;Data final de vigência do contrato;datetime;8
Valor Unitário;Valor da unidade de medida. ;decimal;9
Valor Total/Global;Valor que integraliza os valores de todos os itens unitários contidos no processo de aquisição/contratação.;decimal;9
